club_name,end_of_spell
Ilysiakos,2015-03-01
AS Fokikos,2015-01-03
Ionikos Nikeas,2014-03-13
Atromitos U20,2013-06-30
Ethn. Piraeus,2010-11-02
PAO Vardas,2019-06-30
Amvr. Distomou,2018-06-30
Ast. Vlachioti,2017-10-23
AE Istieas,2017-02-06
AE Karaiskakis,2016-10-03
AE Farkadonas,2016-02-13
Doxa Manoladas,2015-11-03
AO Glyfadas,2015-05-06
AE Sparti,2014-11-22
Doxa Manoladas,2014-06-30
GS Ilioupolis,2013-10-18
Doxa Manoladas,2013-06-30
Diagoras,2012-11-12
Atromitos Lappa,2012-06-06
AO Trikala,2012-03-22
Pannafpliakos,2011-11-21
GS Ilioupolis,2011-06-30
Ionikos Nikeas,2011-04-22
Platanias,2010-09-26
AGS Kastoria ,2009-10-09
AS Leonidiou,2003-06-30
GS Kallithea,2016-02-04
AS Fokikos,2015-03-02
Ionikos Nikeas,2011-01-12
APOEL Nicosia,2013-10-11
Ionikos Nikeas,2009-09-04
Wanderers,2016-08-01
Rampla Jrs,2015-05-25
Niki Volou,2010-09-20
Olympiakos N.,2008-06-30
Olympiakos N.,2007-12-18
Ionikos Nikeas,2007-09-26
